	aerobe	anaerobe	facultative	MeanDecreaseAccuracy	MeanDecreaseGini
Radical_SAM_C	0.00168722262052602	0.000596152961814477	0.000656284659942497	0.00098805969877028	0.939914032691258
3HCDH_N	0.00164996445480897	0.00208387908014553	0.000765194761982393	0.00151179194292	1.33747779171218
UPF0093	0.00161762246142172	0.00330815305818209	0.000426191990682085	0.00178269041014841	1.43604516794957
Thiolase_N	0.00161381562940101	0.0020444792498647	0.000547581972441074	0.0014084560155756	1.29773823093442
Peptidase_U32	0.00160196354519295	0.000393061463225694	0.000750949867516278	0.000926136628714382	0.65432841306622
Hydrolase_3	0.0015938502711535	0.000488283100822243	0.00143745633707214	0.00117864206447538	0.793176603067116
3HCDH	0.00157478258762347	0.00136378558187755	0.00199871006429488	0.00165058372678706	1.27000107426518
Thiolase_C	0.00154841054073499	0.00311573960426412	0.000666031151669283	0.00177850406012681	1.66403810362924
Fe_hyd_lg_C	0.00154752950661171	0.00147613556162141	5.61474738705116e-05	0.00102682222923492	0.824354777926827
Cytochrome_CBB3	0.00150594340222914	0.00370886677370326	0.000526581618225073	0.00193166010577572	1.14052734718217
Fer4_20	0.00149637932021743	0.000603678816040492	0.00013142820919855	0.000738758075316021	0.534787005871475
PTS_EIIC	0.00145000448871546	0.000810980537400686	0.00335573823115719	0.00186159439076908	1.42696404112393
Abhydrolase_6	0.00144348982203975	0.00121154917983436	0.000581985404647551	0.00107968284182199	1.06957625340059
Gate	0.00142938000664912	0.000125716145476324	0.000955750005794896	0.000823056278231183	1.1991937295004
Aminotran_3	0.00142819299768353	0.00205993775577593	0.00201354576314564	0.0018286222941147	2.05410939660172
Bac_globin	0.00142407550358477	0.00401922305171884	0.00139567310853488	0.00227607060763901	1.90142062316389
TatC	0.00140503141634897	0.000770678213692701	2.85093459931819e-05	0.000732254456831305	0.43511269035076
Cytochrom_C_asm	0.00139589554174343	0.00283271238518863	0.00137099836487743	0.00186546193962311	1.44542857153613
Pirin_C	0.00137613078786172	0.00107124647758648	0.000412751473558348	0.000954026539312817	1.09309872885384
CSD	0.00136614161278252	0.00177592053151995	0.000791670083342692	0.00130609682388774	1.0456740794217
ADH_zinc_N	0.00135618516957652	0.00111300425173417	0.00121035162703197	0.0012305079540492	0.937240469425642
Ferrochelatase	0.00134602736953269	0.0046090883276512	0.00161631804215369	0.00251688361483497	3.10336044546227
Nucleos_tra2_N	0.00133560607531918	0.00195304376699437	0.00213460276749515	0.00181212565699871	2.24282887680221
OsmC	0.00132168634104159	0.0016219001978505	0.000903444795308067	0.00128376792113105	1.32364653374966
FTHFS	0.00130774528787699	0.00171777657130027	0.000957416032114531	0.00132963538574575	1.40496303275036
DSBA	0.00129500701510567	0.00300128918075268	0.00140465469987828	0.00189846016997169	1.42681572083698
Fer4_11	0.0012867566529279	0.000211956968344925	0.00229909089263767	0.00126336193172066	0.501724767239709
DUF423	0.00128413016271372	0.0125607529850197	0.00405505456839221	0.00595277835799423	4.23417044481656
UbiA	0.00127985577439439	0.00166165774563397	0.000903631822883275	0.00128825377973381	1.35048086701713
Fer4_12	0.00124918008350496	0.000926108464551208	0.00162917694477466	0.00125817220847372	1.12362144219916
Prismane	0.00124905799465148	0.000735802425545866	8.61293549229467e-05	0.000689894136149797	0.567634688022018
PFOR_II	0.00124472847655979	0.00133957455875268	0.000656007536837668	0.00106996633564181	0.900138938334067
AMP-binding_C	0.00124040351276042	0.00272951559506186	0.00145587231137196	0.00181274328461258	1.73621074631581
COX2	0.00123995207050099	0.00567444538681728	0.00479665235136523	0.0038713594047578	3.34355785016054
PhyH	0.00122030179610114	0.0024718430644543	9.95722468572859e-05	0.00126850022952179	1.18471354741101
PNP_phzG_C	0.00118960098281588	0.00189509692511804	0.000174426453008749	0.0010914623442939	0.77590396544769
ALAD	0.00117794467707033	0.000535658555517241	0.00048187781621321	0.000733993963341818	0.615294986473001
ADH_N	0.00116791223077578	0.000592188259743228	0.00108643066392259	0.000962596148482616	0.745058310066749
FA_hydroxylase	0.00116198132411689	0.00226644651755169	0.000152983344365403	0.00121800471657844	0.886403126394641
COX15-CtaA	0.00114342154660044	0.00594759318872122	0.000877031560169537	0.0026699350878998	1.72108829827461
PRD	0.00114049397394155	0.000330833861446555	0.00102800971077427	0.000823931151533445	1.0384287177736
MukF_M	0.00113848754372719	0.003429986185046	0.00525490260057998	0.00331372092483168	3.20496632470932
ECH_1	0.0011092272794981	0.00383959979294261	0.000645545554372994	0.0018675820628163	1.59606338711468
DHH	0.00109697811671921	0.000737903783589264	0.000744040273032447	0.000871149441863311	0.771159387225461
Sigma70_r4_2	0.00109202128481147	0.000363237869452335	0.000830389952261854	0.000768731396577669	0.546398982907808
Nucleos_tra2_C	0.00106887144855988	0.00160558660294153	0.000823170882094156	0.0011638243257917	1.97827895344907
Nitrate_red_del	0.00106740250060791	5.57770442460026e-05	0.00141343499890233	0.000850656717681658	0.374593180141555
TetR_N	0.00106249657777031	0.00031149690667399	0.000805266502743047	0.000718680970016919	0.833473833081646
C_GCAxxG_C_C	0.0010393524605654	0.00105283116811338	0.00025330385990027	0.000775090871983049	0.735016018619272
TPP_enzyme_M_2	0.00103356628701213	0.00356166727232078	0.00273444814033737	0.00243016042715434	2.40539277606339
ZapB	0.00103165140134418	0.000249740848360925	0.00130516942175789	0.000859794174323425	0.798984710111202
Beta-lactamase	0.00102302240180631	0.00020464249894523	0.00037457316200079	0.000530291658372564	0.38941097124684
PyrI	0.00101262618304545	0.000187874920109879	0.000400872935799926	0.000540769234830743	0.152765922108377
PyrI_C	0.00100723931148064	0.000259018534828219	0.000487032415283095	0.000583601712479473	0.267043267647951
DUF1040	0.00100003085027655	0.00282626632152639	0.00526752089105418	0.00300105126625171	3.22846090211905
GMC_oxred_C	0.000996795125213525	0.00284170679940877	0.000733927481854399	0.00150453647264441	1.15272262125327
DUF3663	0.000989746036268446	0.00110705793517289	0.0019107553071138	0.0013227036333986	0.999429398322972
POR_N	0.000989070912664321	0.00225338558841586	0.000258252883567725	0.00117167737855487	1.24390237094175
FAD_binding_6	0.000985704816504149	0.00165716034187035	0.000276807918410865	0.000975469214497506	0.932146642496299
OapA_N	0.00098566725936994	0.0018530093732157	0.00341102573460206	0.00206307746630464	2.46361676751081
GMC_oxred_N	0.000983743971406931	0.00433758557735792	0.000948414949852292	0.00209966618807101	1.46066606398304
BMC	0.00097874079291315	2.15565180724715e-05	0.000505882474786225	0.000512258577234042	0.19460809419026
Cytochrom_NNT	0.000977009434482542	0.000265660329283027	3.8985313483857e-05	0.000434426832638453	0.304199434381262
FAD_binding_4	0.000966731681594105	0.000842730704416357	0.00108033265635903	0.000971614838931603	0.750533804624848
Peptidase_M17	0.000958732513515468	0.00302603549134493	0.0010295996106123	0.00164303541918502	1.16436655616658
Pro_dh	0.000954806966217606	0.00265762538439412	0.000978808653775822	0.00151417838731903	1.52639757569939
DAO_C	0.000943742087259036	0.00443921294969709	0.00209597112901557	0.00249290311750321	2.53788972389748
Rhodanese	0.000940299781653434	0.0029844364635715	0.00224058361437613	0.00205443557987545	1.68775838055419
Glu_synthase	0.000936270732185412	5.63539762328174e-05	0.00016765229160243	0.000397062646846014	0.273076200097024
DcuA_DcuB	0.000926273640091178	6.17162305459006e-05	0.00141402218279612	0.000804348549549464	0.452272276763238
Aminotran_5	0.000925436379375537	8.49057173942633e-05	0.000474499440210414	0.000503037289262159	0.3991414993178
E1_dh	0.000912397511956105	0.00197070831748298	0.000445357385138119	0.00110791685601949	0.900579716900323
Radical_SAM	0.000891947126441032	0.00092005192612971	0.00100515549466567	0.000933563833725949	0.859583865781619
YCII	0.000885663355513268	0.00202107562252462	0.00114757645191091	0.00135374005461456	1.59841198229898
PTS_IIB	0.000883723158621161	0.000725556090450429	0.00253183826530668	0.00141525953926512	1.08931189621487
DinB_2	0.000883386423029668	0.000628590798045878	0.000452362242516235	0.000649699248673209	0.846500588440152
AsnC_trans_reg	0.000874124607240399	0.00137701363669451	0.000310436884079482	0.00085299561891967	0.818672068768285
DLH	0.000862709313652773	0.00193664798252597	0.000241341122543069	0.0010136607245255	1.14229703481008
RnfC_N	0.000862202087471143	0.000144350706322246	0.000114928569439859	0.000373954586511477	0.207595286983221
Fer2_3	0.000860006854065705	0.000182977272729798	-3.04064930482205e-05	0.000339130215031712	0.175473036473989
CbiQ	0.000856643852338701	0.000312731207141459	0.000540557299630601	0.000568253163927785	0.303847284133804
DNA_ligase_A_M	0.000853540507933857	0.000525634380480713	0.000137579623095605	0.000498999323100806	0.575338279999788
URO-D	0.000852388887252729	0.000601936427109354	0.000277599749851969	0.000579837968975028	0.591666657779656
LPP	0.000851286554740877	0.00104450322270302	0.00299725113044453	0.00165038539689355	1.63013735843389
ACT_5	0.00084468032998537	3.39990803780064e-05	0.000297860526879991	0.000389401478525665	0.416649113994873
DNA_ligase_A_C	0.000835693559267721	0.000178794184154509	3.19709297600004e-05	0.000346353898534109	0.280671494569349
Arg_repressor_C	0.000832793645241404	0.000518337494942253	0.000876211198555738	0.00073403267482273	0.555008401422769
AlaE	0.000819925288120608	0.000883323355490264	0.000824355075594815	0.000831715720112572	1.06661199368337
LuxS	0.000796507509481061	0.000109524332485243	0.000172302144591266	0.000359323712692497	0.304709895865281
DUF386	0.000788732211644908	0.000493689411701023	0.000264132551276231	0.000515695475592352	0.241877851560377
PTS_IIA	0.0007848451707257	0.000160138440997786	0.000855306492335435	0.000596902143667518	0.583605658027945
Pyr_redox_3	0.000777566358663632	0.00224896865378014	0.000407760675570115	0.00114063900696117	0.800308310584858
DUF711	0.000777032962120808	0.0005133236244849	0.000395063801458621	0.000550849275473926	0.447705613706835
YtfJ_HI0045	0.000770085532876873	0.000284079161324352	0.0013648665447749	0.000801660207270404	1.36296543499105
HgmA	0.000765343207147371	0.00114811402524195	5.94620210754688e-05	0.000648395157925128	0.586148251119157
DUF406	0.000755361778931927	0.000861734722128224	0.00289974925190469	0.00148948586562463	1.6144458542377
zf-C4_Topoisom	0.000746955063458109	0.000837458721262591	0.000911950668637988	0.000834521459351853	1.26671353068396
Jag_N	0.000732997892815888	0.00011742881145622	5.21017839854085e-06	0.000284913736390147	0.136637362157326
Fer4_7	0.000718970235737379	0.000602980652183446	0.000826008946953823	0.000717663952971071	0.653133710736799
Fe_hyd_SSU	0.00071373048493802	0.000569574112390863	4.51875176169814e-05	0.000444533048947948	0.376247558832928
Cytochrom_C	0.0007112354372589	0.00368702531344656	0.000626113198827337	0.0016787690982778	0.929440406184882
TatA_B_E	0.000710068434510562	0.00157392832658534	0.000673483755604231	0.00100246079064321	0.832145851262001
Sod_Fe_C	0.000710044361008635	0.00222386550587928	0.000512905698983323	0.00115079556480442	1.23471243764024
FadR_C	0.000709408639984394	0.0010762828106313	0.00224710929109985	0.00133149699892689	1.47282679683213
CitX	0.000698278315892363	5.52734621700139e-06	-2.4034458550995e-07	0.000234824020196149	0.242771682522112
Polyketide_cyc2	0.000696769533695663	0.00031205606294954	6.46322958743034e-05	0.000359298146172569	0.306750706222906
EIID-AGA	0.000693143652091387	0.000207708658670685	0.000243705396428522	0.000381542004337002	0.359454434662779
Desulfoferrodox	0.000684450999353622	0.000553321497184499	0.000100590851387574	0.000443676390083142	0.470758087437889
MFS_1	0.000677115257822417	0.00124468264339039	0.00086078153808311	0.000924543239567313	0.875143839630373
AA_kinase	0.000676701642492328	0.000774543672479798	0.000908905533742745	0.000780295715987472	1.02312726294391
UPF0181	0.000673628466702566	0.0019298246542229	0.00442228326284464	0.00230317343138847	2.50303285276172
p450	0.000673613958515246	0.00438749417680274	0.000591722890685871	0.00190766932324961	1.67736156287561
2-oxogl_dehyd_N	0.000670687827379965	0.00509451917322645	0.00145687333852622	0.00242844807203141	1.97190594366198
Pirin	0.000669275867536149	0.00193846982181814	0.000659665511014984	0.00108118572200108	0.9089513736631
Topoisom_I	0.000668827257646597	0.000573380531749757	0.000130848591326834	0.000455198613814746	0.386451886874343
SnoaL_2	0.000662580706395671	0.000396180354875699	0.000394926493097498	0.000490467225640337	0.418244986737235
Fer4	0.000660932060753752	0.0012924869101961	0.00030723782519819	0.000751184499700814	0.683220154130654
Transket_pyr	0.000658484729363518	0.000750077933514555	0.000390951594471601	0.00060394098935432	0.591280740743004
AMP-binding	0.000657012569773279	0.000521228855676736	0.000255170205695135	0.000478881358130799	0.552750892474571
Citrate_synt	0.000656972071129222	0.00160078754354519	0.00057742625260189	0.000946640819124307	0.960435771185246
KicB	0.00065689739409541	0.00173318042034364	0.00275022017599473	0.00168889849694283	1.71815621493372
AFOR_C	0.000653959527109336	6.74970329823651e-05	2.21644260891778e-05	0.000249571137698547	0.226741328619426
DUF2179	0.000644837706068717	0.0003304646618526	0.00012814379920994	0.000369942235272615	0.30853400024353
DUF1939	0.000640830522825205	0.000496278293461718	0.000158547758355741	0.000434483020432789	0.600726094410648
Aminotran_1_2	0.000635240904189576	0.000228658605739165	0.00085689390523432	0.00057420747767504	0.660595917726039
FAD_binding_7	0.000631663586053935	0.0110425905478189	0.00296135365304248	0.0048886001802668	4.04612691407488
PALP	0.000629018246535304	0.000319507267220318	8.08092422542446e-05	0.000336479725066666	0.3269385312729
Sulfate_transp	0.000627871150385873	0.00351556908893668	0.000533142511864524	0.00155286069470121	1.52046610847114
PAPS_reduct	0.000622418196042915	0.000220414754537604	0.000611942249950199	0.000480563353158134	0.315720725545347
2OG-FeII_Oxy_2	0.000615846119532953	0.00441700426777838	0.000370765005148734	0.0018494639132193	1.1843148425916
Sigma70_r2	0.000615210954923968	7.26911739499822e-05	0.000550382715551884	0.000414471010239353	0.392610624158537
Nitro_FeMo-Co	0.000608488583862607	0.000831345813992888	6.70488933197532e-05	0.000497611728065568	0.674468590470483
GATase_3	0.000603771285298456	0.000918606902046579	0.000275966780463349	0.000593625933096577	0.499585159378533
Mga	0.000598426003329166	0.000106987997352844	0.000345296771517011	0.00035573239663601	0.359696554233365
RDD	0.000592620130480544	0.000199536366089653	0.00050426055913364	0.00043659606742103	0.351249599534644
Fapy_DNA_glyco	0.000590314131077369	0.00179331559104221	0.000294909009070479	0.00088044368722332	0.624202110637928
BcrAD_BadFG	0.000588601063386748	0.000881351847335969	0.000405961098337709	0.000626465124256949	0.479972005601505
B12-binding	0.000587419417459653	0.000765701766938812	4.03436199847625e-05	0.000469758583266121	0.316651444618567
RskA	0.000587155784446327	0.00102554131694603	0.00027446622310487	0.000634615787807055	0.61157405250207
DUF362	0.000584578462103872	0.00116414880292969	0.00016718786136097	0.000639252330157072	0.69178650939399
EFG_IV	0.000582805533292937	0.00146236884224579	4.46917487396672e-05	0.000696069438208492	0.665949341956287
FeoB_N	0.000581953877147166	0.000115718958792566	0.000313102486642126	0.000336547832694049	0.269259413154247
DUF440	0.000580046371209025	0.00211120444675448	0.00311310346721511	0.00193731286572573	2.2215209677053
UPF0176_N	0.000577123539618158	0.014961923907347	0.00197929652587966	0.00584121453818528	3.69654497417057
Citrate_ly_lig	0.000575690337536329	3.33613695926853e-05	-2.2259885007833e-05	0.000199712013696532	0.0821576708858035
PTSIIB_sorb	0.000575500442817429	3.93968451445866e-05	0.000263078411803208	0.000295445424831938	0.207592043425541
CAT_RBD	0.000572437154482516	4.30779712971675e-05	0.000100384666177105	0.000234063855065836	0.140790021136455
PCuAC	0.000570538537005636	0.00425161124622053	0.0003301383501596	0.00170825561188037	1.0878878672837
Phage_integrase	0.000567998176904605	0.000288532361877484	0.00069381061514647	0.000512514253745421	0.611200190638594
HisKA	0.000566188724994984	0.000452289765651669	0.000965115715748991	0.000672495408336065	0.702668717163112
PDH_E1_M	0.00056435789926558	0.00306284676162824	0.000538966369002003	0.00137324585071183	0.881521686068435
Pterin_4a	0.000563476815994288	0.00310839432519213	0.000280723938822476	0.00131332463131995	1.21746181822183
DHHA1	0.000559544429810748	0.000252634009580024	7.26301356965832e-05	0.00029829499899412	0.279321813974781
S1	0.000558506011118748	0.00151828379294338	0.00153511362391604	0.00120377768826214	1.37763312300307
Fer4_4	0.000555592736003901	0.000126186979160925	0.00148627302073178	0.000708106461564445	0.332468266202194
4HBT	0.000554326541289397	0.00171580026233376	0.000664287230672606	0.000983403335234531	1.0276873470865
Sod_Fe_N	0.000552688171905255	0.0018593232927981	0.00068628708285776	0.00103149568933666	0.995275117772219
PTS_EIIA_2	0.000550362386722696	8.12785088138705e-05	0.00276093584225394	0.00111982730711689	0.577777971328195
DHODB_Fe-S_bind	0.000549402047154129	0.00302448513396827	0.000274157566941282	0.00128207025068256	0.868778100665655
TSCPD	0.000549239677324849	0.000452618051219468	6.84176902300399e-05	0.000354073486004669	0.327603809091025
Peptidase_C69	0.000543849937942935	0.0019053795387442	0.000335718506766836	0.000936033505414336	0.730734725550638
EII-Sor	0.000538037155053378	0.00017273618208846	0.00011106382237113	0.000269161951033576	0.222107289096234
NUDIX	0.000535544345612458	0.000561387552000644	0.00107460122740817	0.000736703789828046	0.700975027237674
DUF1292	0.000533607912532868	0.000321675371912696	0.000240800722112646	0.000366009792013364	0.252566255939986
UPF0102	0.000532216987445591	0.000769193046075144	0.000286667557506072	0.000531644510994504	0.225234992506941
Amidase	0.000531982799560832	0.000591592520097998	0.00100503420493134	0.000707686776205371	0.549663275106029
GerE	0.000531895296073825	0.000800936701319589	0.00219000975764358	0.00119183722764166	0.552464244914941
SgrR_N	0.000530127178844844	0.00101733820612762	0.00112709308993906	0.000893703036754321	0.850010349786575
Form_Nir_trans	0.000528867671553696	0.00123599941159515	0.00192175226124707	0.00121870874887637	1.21952598399376
Biotin_carb_C	0.000527556156764884	0.000956697592559933	0.000495559073866686	0.000666240188216947	0.374126974956206
Pro_CA	0.000527322471207902	0.000613962881444426	0.000250520072331272	0.000451108206452004	0.25834882456553
zf-like	0.000524369605350256	0.000125668991280539	-1.11117200520378e-05	0.000213169131412745	0.209621697666944
Rubrerythrin	0.000523771210271303	0.00185114712101979	0.000162668977755093	0.000839401549535708	0.686838046931636
CBS	0.00052345371658272	0.000797149669437192	0.000300978171910565	0.000529880303008166	0.52675929935591
RibD_C	0.000519174190090448	8.91119416190794e-05	-1.49797515110927e-06	0.000202543471733036	0.194450265467749
UPF0231	0.000514248700196438	0.00163302903115935	0.00191150633937978	0.00135561676115022	1.33777456805404
Pyr_redox_2	0.00051332213605725	0.000201978858551899	0.00186973868032503	0.000866827936744234	0.407903476749881
GTP-bdg_M	0.000512238886682087	0.000175439613706919	5.52121920363685e-06	0.000237418974486211	0.24015977826493
ThrE	0.000512016437131759	0.00106413813816164	0.000216405514272161	0.000596494428343173	0.452572030000226
DUF1131	0.000509945068351635	0.000469553707196431	0.00137250475466199	0.000800688718497471	0.739788184440701
PocR	0.000509892279737068	9.32531551676303e-05	5.84819909085935e-05	0.000221385600841256	0.162265328214373
HD	0.000507475199187083	0.000792787427098449	0.000359668425263549	0.000551779837973839	0.75644491183853
AFOR_N	0.000503640589779572	9.16418273376032e-05	-9.88655919728513e-06	0.000194933279929943	0.182139238934764
Amidohydro_2	0.000500447976857673	9.58936225090038e-05	0.000218897151750657	0.000263131342146537	0.269203864667974
HTH_20	0.000494955455715575	0.000213093396586806	0.000132037821486812	0.000282951290323995	0.51713006890526
DUF1803	0.000494265511573189	0.000483549415212531	0.000489234284074153	0.000489589888841039	0.693142771443506
FixO	0.000492649948751674	0.00141848128356636	4.53680340212582e-05	0.000657026934946302	0.38275351539877
tRNA_bind_3	0.000492420248131877	0.000920226055500267	0.000709061836242945	0.000711498889930596	0.81000133158336
MukF_C	0.000490333121211045	0.00185149064771977	0.00289447744664888	0.00178116737725696	1.66160608184971
GBS_Bsp-like	0.000489581418085926	2.06970835028157e-05	1.80557874494074e-05	0.000176638932580586	0.298459899071116
HIGH_NTase1	0.000487790210057771	0.000141293670484588	8.13030760691041e-05	0.000234708972119839	0.274232200025328
ThiS	0.000485720933202011	0.000512827732270811	0.00068159456928111	0.000552751487080003	0.53690454473307
ABC_tran	0.000484748094135054	0.000182461189072458	0.00110814761100318	0.000593596935896747	0.481990185249212
Fer4_5	0.000481767719909553	0.000254567331322572	0.000163555585721904	0.000302514598335412	0.324292489471026
Dioxygenase_C	0.000477701826408825	0.00214423407202935	8.84178055104328e-05	0.000908985030970712	0.668889462730911
Pyrophosphatase	0.00047428187313759	0.000208629532589528	0.000114888798586112	0.00026098320848076	0.298554372308686
Molybdop_Fe4S4	0.000473930274476263	0.000629683126191165	0.000727632723040801	0.000608069974872451	0.558361031099966
Voltage_CLC	0.000473537799933735	0.000621056961651817	0.000146310864799332	0.000404731808274501	0.400643860810053
PurK_C	0.000473498447111563	0.00187494221525436	0.000232819339510263	0.000867262879239198	1.05389978261558
SecD-TM1	0.000471994816229724	0.00200151463700771	0.00144805021571103	0.00131104509572202	1.31432875322587
DUF1422	0.000470427955369649	0.000673757001367352	0.00102255020984969	0.000736427179998191	0.816000917884299
Oxidored_q2	0.000469684061616812	0.000599399975821669	3.90414426114027e-05	0.000364317665175444	0.328452799668852
RecX	0.000468782002767756	9.66655929621585e-05	3.69556907161743e-05	0.000198874361149661	0.184926450269261
Fer2	0.000467896718072648	0.000350484635019728	2.88411154276295e-05	0.000286888142611901	0.229640668532611
PTS_EIIA_1	0.000466997369702964	0.000269800687437178	0.000405487178744326	0.000381454229059981	0.586703858014957
DUF2593	0.000466173899282674	0.000952727314624947	0.00145623539089242	0.000963518225222952	1.16167305129102
Trans_reg_C	0.000464915556333901	0.000690394861670345	0.00134723875841913	0.000850335336551671	0.630628860893419
Porphobil_deam	0.000464748975483452	0.000258210565533886	0.000156987687796197	0.000297548121388656	0.212181131504435
Exo_endo_phos	0.000463256349839075	0.000489110729524274	0.000398015886303545	0.000442097331909321	0.384843932277731
HATPase_c	0.000463158934917321	0.000309722756604186	0.000861163711229394	0.000542387826485315	0.665666146606916
Peptidase_M1_N	0.000451879221862634	0.00094951305077708	8.24476027785209e-05	0.000495504378593824	0.379244432049011
Phage_int_SAM_1	0.000451681568370154	0.00033613698137417	7.91229733292138e-05	0.000294213193716781	0.513682553881397
AhpC-TSA	0.000450629090195989	0.000419580206733419	0.000113366888553958	0.00032852541151214	0.352309922600751
M20_dimer	0.000448510614264931	0.000312414592478865	0.000970383593942318	0.000570975437905894	0.672065916364675
Na_sulph_symp	0.000447293710864057	0.000144118891993743	0.000553806981671285	0.000385741489521248	0.618685288017466
DUF3378	0.000447186192919039	0.00117939112901021	0.000422758776657903	0.000690920789395155	0.485851129562119
NAD_binding_2	0.000446153323163095	0.000852449937885588	0.000258529071430637	0.00052348447820484	0.384048924263604
Fumarate_red_D	0.000445390280100116	0.0010855373268085	0.00185401679857449	0.00113444605744755	1.44309860222137
Glycos_transf_1	0.000441638233291436	0.000118319848915186	0.000625768268760431	0.00039070937402396	0.599807579395723
FeS	0.000438373696052344	0.000355679481303213	0.000143084704594213	0.000316511943229725	0.248671957485973
Proton_antipo_N	0.000437651291232961	0.000284652989353971	0.000197479161998632	0.000308822358516145	0.314420989309282
DUF402	0.000436440006007549	0.00245797880565141	0.000880144297134818	0.00125421423792918	0.78451648621628
CN_hydrolase	0.00043503487271485	0.000274980457098797	0.000744942691388712	0.000490210893825722	0.531007775703494
NAD_binding_1	0.000433719561532222	0.000508417051901704	0.00030116673974199	0.000416975456121064	0.456899915733594
AHSA1	0.000432072144707733	0.00209043398272136	0.000793651677906288	0.0011145581244569	0.998629590004393
DUF488	0.00042917791731803	0.000428326625444119	0.00020443556507399	0.000351169862018759	0.228140851712655
DUF3343	0.000428293472624741	7.11459285295638e-05	0.000505387786098286	0.000332894089674062	0.199110355063436
EFG_C	0.000428205724667843	0.000722400487466483	0.0001215498917017	0.000422597565733812	0.511996701114907
Glucosaminidase	0.000422869239844164	0.000144052115249278	3.25103880194763e-05	0.000196936705606024	0.300986044362229
Tyr_Deacylase	0.000422798677861763	0.000223638809586384	5.12423133554575e-05	0.000226522406936404	0.249756142464454
Nitr_red_alph_N	0.000420467176607583	0.00115236374535453	0.00234323259145595	0.00129408347658872	1.85889398625152
Epimerase	0.000419985331990465	0.000125018723460162	0.000975526241000293	0.000499925811894505	0.299339417672031
FUR	0.000418325695015984	0.000114063032183296	0.000145431391661254	0.000226824019060916	0.203789870334089
Glyco_hydro_15	0.000418158195823869	0.000141512078242755	2.48107185310725e-05	0.000192002719873331	0.187111555976291
